Remove	STRING	LEN	FREQ	Orth	Orth_F	N1_F	N1_C	N2_F	N2_C	N3_F	N3_C	UN1_F	UN1_C	UN2_F	UN2_C	UN3_F	UN3_C
0	thred	5	NA	4	188.01	14748.44	449.4	3835.16	90.25	540.71	10	313498.35	34926.8	56693.91	4203.75	2516.29	362
1	timen	5	NA	3	117.48	10316.22	421	1152.35	34.75	420.32	6.67	321667.59	40744.4	28708.18	4663.25	4127.55	511.67
0	tiree	5	NA	3	233.55	14166.13	540.8	1024.14	40	306.96	7.33	396617.35	50583.8	28852.01	4582.5	1617.79	219.67
0	todal	5	NA	6	62.84	9218.41	327.4	654.58	35.75	157.2	4	286709.41	32789.4	20171.82	2230	205.77	43.67
0	todge	5	NA	2	8.21	11482.22	377.6	520.58	36	122.57	7	297405.38	34576.6	14486.32	1346.75	362.01	90.33
1	toten	5	NA	4	2.51	12749.07	477	1685.99	48.25	307.93	6.33	383101.45	42424	33218.59	4358.75	1606.6	293
0	tould	5	NA	3	1610.21	13759.21	395.2	5085.68	38.5	3271.61	4.67	233934.34	28109	25918.59	1971.25	4134.83	83.33
0	tound	5	NA	8	138.98	13275.11	398.4	3095.77	47.75	971.4	8.33	257270.08	30017.4	34848.15	2678.25	3351.7	424.67
0	trabs	5	NA	6	8.45	9789.65	572.4	653.87	51	144.79	8	269379.8	36185.6	9563.63	2524.25	1575.27	435.33
0	trach	5	NA	5	24.82	9733.47	324.4	2081.62	67	240.23	10.33	275642.46	30898	15213.8	3282.25	2537.58	574
0	trass	5	NA	9	14.12	11219.38	601.8	1100.56	57.5	317.71	9.33	308864.47	44240.8	18324.38	3521.75	2250.83	566.67
0	treen	5	NA	4	70.02	12496.53	436.6	1607.35	50	268.79	9	392875.79	48683.8	32501.59	4407.75	3080.46	283.33
0	trich	5	NA	3	7.24	10446.27	303.6	2813.23	60.5	1281.41	8	260371.59	32199.4	17054.15	3629.75	2551.15	403.33
1	tride	5	NA	8	30.11	12006.8	373	856.28	48	190.24	10	325642.67	42125.4	16133.95	3422.5	2394.54	452.33
0	trime	5	NA	9	15.86	11785.66	367.6	816.73	46	200.45	10.33	312903.94	40838.2	17635.94	3104.25	1958.8	370.33
0	trive	5	NA	7	16.94	11759.71	351	1021.74	50.5	212.9	8.33	300586.48	39016	17121	3124.5	2940.15	590.33
0	truel	5	NA	3	10.15	11162.41	422.6	610.4	38	117.08	5.33	288863.8	37776.8	9213.27	1911.5	597.7	126
0	truit	5	NA	3	43.61	10271.06	301.8	559.99	32.5	136.81	4.67	290121.55	36534.8	14449.78	2092.75	823.92	174
0	trumb	5	NA	3	8.84	6795.1	228.2	481.06	29.5	109.57	6	184403.2	24280.4	5545.08	1522.25	732.99	222
